College,Degree,Major Code,Major Name,Non-Resident Alien Male,Non-Resident Alien Female,Hispanic/Latino Male,Hispanic/Latino Female,American Indian or Alaska Native Male,American Indian or Alaska Native Female,Asian Male,Asian Female,Black or African American Male,Black or African American Female,Native Hawaiian/Other Pacific Islander Male,Native Hawaiian/Other Pacific Islander Female,White Male,White Female,Two or more races Male,Two or more races Female,Race and Ethnicity Unknown Male,Race and Ethnicity Unknown Female,Total
College of Arts and Sciences,NDEG,UNDL,Undeclared - Undergraduate,,,,,,,,,,,,,1,,,,,,1
College of Arts and Sciences,,,Total,35,22,25,41,2,3,20,16,21,15,1,1,496,431,22,23,17,9,"1,200"
College of Business Administration,BSBA , ACCG   ,Accounting,7,20,3,8,,,4,3,1,1,,,77,39,1,4,2,,170
College of Business Administration,BSBA ,JEAC,Accounting (Raikes progam only),,,,,,,,,,,,,,1,,,,,1
College of Business Administration,BSBA , ACTS,Actuarial Science,20,15,,1,,,1,,,,,,29,11,,1,1,,79
College of Business Administration,BSBA ,JEAS,Actuarial Science (Raikes progam only),,,,,,,,,,,,,3,1,,,,,4
College of Business Administration,BSBA,BABUS  ,Agribusiness,,,,,,,,,,,,,8,2,,,,,10
College of Business Administration,BSBA,BSAD,Business Administration,9,6,4,3,,,1,1,1,,,,94,40,,2,5,1,167
College of Business Administration,BSBA,ECON   ,Economics,3,1,,3,,,,,,1,,,33,9,,2,,,52
College of Business Administration,BSBA,JEEC,Economics (Raikes progam only),,,,,,,,,,,,,1,,,,,,1
College of Business Administration,BSBA,FINA,Finance,35,22,4,1,1,,2,4,,,1,,54,9,2,,1,,136
College of Business Administration,BSBA,FINB,Finance (Banking & Fin Inst),2,3,,,,1,,1,,,,,10,2,,,,,19
College of Business Administration,BSBA,FINI,Finance (CFA-Investments),,1,,,,,,,,,,,8,1,,,,,10
College of Business Administration,BSBA,JEFN,Finance (Raikes progam only),,,,,,,,,,,,,1,,,,,,1
College of Business Administration,BSBA,FINR,Finance (Risk Mngt/Insurance),1,,,,,,,,,,,,2,2,,,,,5
College of Business Administration,BSBA,IBUS,International Business,1,1,,,,,,,,1,,,6,9,1,1,1,1,22
College of Business Administration,BSBA,JEIB,International Business (Raikes progam only),,,,,,,,,,,,,,1,,,,,1
College of Business Administration,BSBA,MNGT,Management,5,2,2,7,,,2,2,,1,,,43,16,1,,4,2,87
College of Business Administration,BSBA,MNEI,Management (Entr/Innov),,,1,,,,,,,,,,13,7,,,,,21
College of Business Administration,BSBA,MNHR,Management (HR),,2,1,,,,,,,,,,2,8,,1,1,,15
